scenario,seed,row,column,country,strategy,alive
spacious,0,3,25,switzerland-1,switzerland,1
spacious,0,4,0,switzerland-1,switzerland,1
spacious,0,4,1,switzerland-1,switzerland,1
spacious,0,4,2,switzerland-1,switzerland,1
spacious,0,4,3,switzerland-1,switzerland,1
spacious,0,4,4,switzerland-1,switzerland,1
spacious,0,4,5,switzerland-1,switzerland,1
spacious,0,4,6,switzerland-1,switzerland,1
spacious,0,4,7,switzerland-1,switzerland,1
spacious,0,4,8,switzerland-1,switzerland,1
spacious,0,4,9,switzerland-1,switzerland,1
spacious,0,4,10,switzerland-1,switzerland,1
spacious,0,4,11,switzerland-1,switzerland,1
spacious,0,4,12,switzerland-1,switzerland,1
spacious,0,4,13,switzerland-1,switzerland,1
spacious,0,4,14,switzerland-1,switzerland,1
spacious,0,4,15,switzerland-1,switzerland,1
spacious,0,4,16,switzerland-1,switzerland,1
spacious,0,4,17,switzerland-1,switzerland,1
spacious,0,4,18,switzerland-1,switzerland,1
spacious,0,4,19,switzerland-1,switzerland,1
spacious,0,4,20,switzerland-1,switzerland,1
spacious,0,4,21,switzerland-1,switzerland,1
spacious,0,4,22,hegemony-1,hegemony,1
spacious,0,4,23,switzerland-1,switzerland,1
spacious,0,4,24,switzerland-1,switzerland,1
spacious,0,4,25,switzerland-1,switzerland,1
spacious,0,5,0,switzerland-1,switzerland,1
spacious,0,5,1,switzerland-1,switzerland,1
spacious,0,5,2,switzerland-1,switzerland,1
spacious,0,5,3,switzerland-1,switzerland,1
spacious,0,5,4,switzerland-1,switzerland,1
spacious,0,5,5,switzerland-1,switzerland,1
spacious,0,5,6,switzerland-1,switzerland,1
spacious,0,5,7,switzerland-1,switzerland,1
spacious,0,5,8,switzerland-1,switzerland,1
spacious,0,5,9,switzerland-1,switzerland,1
spacious,0,5,10,switzerland-1,switzerland,1
spacious,0,5,11,switzerland-1,switzerland,1
spacious,0,5,12,switzerland-1,switzerland,1
spacious,0,5,13,switzerland-1,switzerland,1
spacious,0,5,14,switzerland-1,switzerland,1
spacious,0,5,15,switzerland-1,switzerland,1
spacious,0,5,16,switzerland-1,switzerland,1
spacious,0,5,17,switzerland-1,switzerland,1
spacious,0,5,18,switzerland-1,switzerland,1
spacious,0,5,19,switzerland-1,switzerland,1
spacious,0,5,20,switzerland-1,switzerland,1
spacious,0,5,21,switzerland-1,switzerland,1
spacious,0,5,22,hegemony-1,hegemony,1
spacious,0,5,23,switzerland-1,switzerland,1
spacious,0,5,24,switzerland-1,switzerland,1
spacious,0,5,25,switzerland-1,switzerland,1
spacious,0,6,0,,,
spacious,0,6,1,peace-1,peace,1
spacious,0,6,2,peace-1,peace,1
spacious,0,6,3,switzerland-1,switzerland,1
spacious,0,6,4,switzerland-1,switzerland,1
spacious,0,6,5,switzerland-1,switzerland,1
spacious,0,6,6,switzerland-1,switzerland,1
spacious,0,6,7,switzerland-1,switzerland,1
spacious,0,6,8,switzerland-1,switzerland,1
spacious,0,6,9,,,
spacious,0,6,10,switzerland-1,switzerland,1
spacious,0,6,11,switzerland-1,switzerland,1
spacious,0,6,12,switzerland-1,switzerland,1
spacious,0,6,13,switzerland-1,switzerland,1
spacious,0,6,14,switzerland-1,switzerland,1
spacious,0,6,15,switzerland-1,switzerland,1
spacious,0,6,16,switzerland-1,switzerland,1
spacious,0,6,17,switzerland-1,switzerland,1
spacious,0,6,18,switzerland-1,switzerland,1
spacious,0,6,19,switzerland-1,switzerland,1
spacious,0,6,20,switzerland-1,switzerland,1
spacious,0,6,21,switzerland-1,switzerland,1
spacious,0,6,22,hegemony-1,hegemony,1
spacious,0,6,23,switzerland-1,switzerland,1
spacious,0,6,24,switzerland-1,switzerland,1
spacious,0,6,25,switzerland-1,switzerland,1
spacious,0,7,0,,,
spacious,0,7,1,,,
spacious,0,7,2,peace-1,peace,1
spacious,0,7,3,peace-1,peace,1
spacious,0,7,4,peace-1,peace,1
spacious,0,7,5,switzerland-1,switzerland,1
spacious,0,7,6,switzerland-1,switzerland,1
spacious,0,7,7,switzerland-1,switzerland,1
spacious,0,7,8,switzerland-1,switzerland,1
spacious,0,7,9,switzerland-1,switzerland,1
spacious,0,7,10,switzerland-1,switzerland,1
spacious,0,7,11,switzerland-1,switzerland,1
spacious,0,7,12,switzerland-1,switzerland,1
spacious,0,7,13,switzerland-1,switzerland,1
spacious,0,7,14,switzerland-1,switzerland,1
spacious,0,7,15,switzerland-1,switzerland,1
spacious,0,7,16,switzerland-1,switzerland,1
spacious,0,7,17,switzerland-1,switzerland,1
spacious,0,7,18,switzerland-1,switzerland,1
spacious,0,7,19,switzerland-1,switzerland,1
spacious,0,7,20,switzerland-1,switzerland,1
spacious,0,7,21,switzerland-1,switzerland,1
spacious,0,7,22,hegemony-1,hegemony,1
spacious,0,7,23,switzerland-1,switzerland,1
